id,lat,long
348596273,43.1111306,131.9406903
348598152,43.1119427,131.9486925
348599621,43.1083859,131.9431092
348603116,43.1311539,131.9427789
348609034,43.1327888,131.9103879
348609040,43.1325405,131.9108733
348609471,43.1320918,131.9115911
349349285,43.1281054,131.8923566
370075757,43.0770366,131.9454344
370075774,43.0892407,131.9448267
370393937,43.1324225,131.8984684
370437816,43.1355894,131.9191663
370952933,43.1042469,131.9559737
370952950,43.1090709,131.9597045
370952962,43.112395,131.9607973
370953186,43.0959213,131.9573723
370953194,43.0953267,131.9587737
370953196,43.0950422,131.9595728
370953320,43.091662,131.9410394
370953458,43.0918549,131.9275231
370953463,43.0925951,131.9328364
370953559,43.0857657,131.907414
370953562,43.0848857,131.9062545
370953563,43.0845193,131.9048376
370953586,43.0813045,131.9033567
370953596,43.0785517,131.90665
370953729,43.088657,131.9088882
370953732,43.0891019,131.9068664
370953733,43.0894118,131.9055613
370953734,43.0899505,131.903397
370953815,43.0903627,131.9059301
373555013,43.1038965,131.9468833
373571479,43.102766,131.9447359
385158492,43.1320908,131.9114095
385159020,43.1353502,131.9108749
393161141,43.1267406,131.8861118
408744755,43.119009,131.9076766
408744756,43.1195166,131.9078771
419828001,43.1157643,131.9154627
419828440,43.1149069,131.9118166
419828579,43.1158491,131.9132677
419830724,43.1114741,131.9196592
422007759,43.0895688,131.9045789
422007765,43.0885052,131.9018698
422007766,43.0883204,131.9013761
422007774,43.0872511,131.8951457
422008750,43.0882278,131.9112594
422019523,43.1254042,131.9592189
422037052,43.1267452,131.9075062
422037342,43.1296186,131.9079019
441712826,43.1218896,131.9329047
441718257,43.117964,131.9117494
441719577,43.1177092,131.9154567
441735242,43.1034332,131.9264676
441737017,43.1021855,131.9586563
441740495,43.0855197,131.9629374
443614220,43.1270052,131.8848216
449513884,43.1327513,131.9125346
490523616,43.1258942,131.8934568
490528342,43.0996637,131.894206
490528351,43.0952678,131.8897944
490528380,43.0950807,131.8894752
490532419,43.1019496,131.9112818
490535618,43.1037119,131.9354179
492028175,43.0934795,131.8927761
492028179,43.0922909,131.8926522
492028651,43.0987884,131.8948576
492034010,43.1343334,131.8897907
492034015,43.1357077,131.8919059
492034020,43.1367307,131.8963714
492034458,43.1357334,131.8971403
